x,y,depth
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.920000000000000000e+02,1.370000000000000000e+02,1.342000000000000000e+03
1.500000000000000000e+02,1.410000000000000000e+02,1.363000000000000000e+03
1.500000000000000000e+02,1.410000000000000000e+02,1.363000000000000000e+03
1.500000000000000000e+02,1.410000000000000000e+02,1.363000000000000000e+03
1.500000000000000000e+02,1.410000000000000000e+02,1.363000000000000000e+03
